ts,p0,p1,p2,p3
7.6966510,0.0000000,180.9450061,119.7119402,104.5672520
7.7335550,0.0000000,183.5964607,116.1836142,102.1066243
7.7680570,0.0000000,184.1907512,116.1614334,101.7039726
7.8062010,0.0000000,184.2228216,115.8767433,101.6748788
7.8455030,0.0000000,184.4709059,115.8611864,102.1662557
7.8836630,0.0000000,184.2473507,115.7192731,102.1034466
7.9173940,0.0000000,184.1687480,115.7662997,101.8046257
7.9748770,0.0000000,184.1358117,115.6828578,101.7545755
8.0483640,0.0000000,183.9663473,115.5909813,101.6363727
8.0878620,0.0000000,183.5435125,115.1859508,101.2181787
8.1051520,0.0000000,182.3315311,113.2143376,99.0696854
8.1223590,0.0000000,180.4112002,111.0082891,96.1642778
8.1537510,0.0000000,179.7158197,110.1941316,95.9994256
8.1867710,0.0000000,176.7392737,113.8354674,98.7188319
8.2185290,0.0000000,176.4543126,113.6829984,98.5054964
8.2527060,0.0000000,176.6183126,114.0359232,98.8201349
8.2875260,0.0000000,176.5795522,114.1152736,98.9190299
8.3750500,0.0000000,176.5886114,114.2529720,99.0438062
8.5136830,0.0000000,176.8230351,114.2891482,99.3648763
8.5703970,0.0000000,176.7741540,114.3705075,99.5223720
8.6040850,0.0000000,176.6846860,114.3748279,99.1773907
8.6554310,0.0000000,176.8205849,114.4380821,99.1299109
8.6737730,0.0000000,176.9194950,114.5082784,99.2682664
8.7417620,0.0000000,177.0029084,114.7377711,99.2362292
8.7943690,0.0000000,177.2593829,114.8737479,99.1005197
8.8266140,0.0000000,175.4825940,113.5594652,97.8521305
8.8874890,0.0000000,172.9450489,111.3596824,95.5677027
8.9113280,0.0000000,170.5674854,109.5444294,93.4775718
9.0398140,0.0000000,171.2946161,109.9659818,94.3302340
9.0705970,0.0000000,171.9413861,110.4667035,95.0679982
9.0936320,0.0000000,172.3286172,110.7966645,95.3807282
9.1262670,0.0000000,172.3750032,110.9807231,95.2778101
9.1460660,0.0000000,172.4237571,110.9340923,95.4810626
9.1928960,0.0000000,172.4236195,110.8286054,95.2466373
9.2125010,0.0000000,172.5597090,110.9660676,95.3221819
9.2348590,0.0000587,173.0151194,111.2260443,95.8924453
9.2568490,0.0003688,173.3822488,111.3616043,96.3454052
9.2801950,0.0011072,173.4450406,111.4426729,96.3555488
9.3061700,0.0024011,173.4261382,111.5033280,96.2893225
9.3389760,0.0043536,173.4990563,111.6042930,96.6685372
9.3647110,0.0067979,173.6865219,111.6522388,96.5836978
9.3885170,0.0089202,173.9893295,111.9920791,96.6903032
9.4898620,0.0096402,173.9355830,111.9196424,96.8195920
9.5144330,0.0087469,174.0624653,112.0288845,96.8610059
9.5394260,0.0063306,174.0832361,112.0417322,97.0057588
9.5634600,0.0019474,174.2944671,112.1823743,97.3427227
9.5881710,-0.0044787,174.3217806,112.2665541,97.3801074
9.6340700,-0.0121429,174.2470924,112.3963216,97.5291268
9.6654460,-0.0200105,174.2204354,112.5750858,97.4025951
9.7199720,-0.0264030,174.2119142,112.5765218,97.2010808
9.7423540,-0.0289645,174.0374336,112.5430498,97.1074115
9.7671670,-0.0268467,174.0347627,112.6288586,97.0922509
9.7898800,-0.0209298,173.7508062,112.2192762,96.4759943
9.8133130,-0.0130260,172.9351189,111.7947155,95.9367203
9.8360540,-0.0048077,172.3903927,111.3927283,95.7441414
9.8615710,0.0033739,171.7621881,110.4544454,94.6703974
9.9070880,0.0123093,170.4038758,109.5529202,93.6097003
9.9344110,0.0225092,169.9057231,108.8584908,92.8929366
9.9581390,0.0330194,168.2826134,107.6086933,90.9981732
9.9821510,0.0429269,166.9562823,106.5744722,90.3934036
10.0054170,0.0518491,165.4873756,105.2042934,89.5150412
10.0300990,0.0600907,164.1867449,103.8958358,88.5639883
10.0790090,0.0659316,162.5466414,102.6569764,86.7428772
10.1045910,0.0660108,161.2439702,101.9770664,86.1462760
10.1213400,0.0599831,159.8321687,101.0014103,84.6869030
10.1381630,0.0494238,159.1354919,100.4104492,84.0275187
10.1540680,0.0371425,157.7420406,99.5119815,83.5679859
10.1878440,0.0256112,157.5310265,99.6417385,83.0515888
10.2041840,0.0161879,155.7669457,98.7766084,81.7870613
10.2174210,0.0088828,154.6782103,98.1531538,81.3822364
10.2555650,0.0036362,154.2746096,97.8784829,80.8893524
10.2805890,0.0010926,153.2410058,97.3706413,80.9959279
10.3437810,-0.0019125,152.7754550,97.2984382,80.0209048
10.3643820,-0.0079075,152.0314997,96.8705710,79.2281949
10.3826460,-0.0162214,151.0248590,96.0521475,78.4631236
10.4360510,-0.0255728,150.8814165,96.1816041,78.6492651
10.4926100,-0.0320952,150.2340319,95.9669955,78.4464700
10.5150500,-0.0311252,150.1502140,95.6129136,77.5541442
10.5499770,-0.0204050,148.8811209,95.1690254,77.5494858
10.5829770,-0.0003445,149.2600172,95.4573078,77.6074222
10.6032000,0.0268114,148.2710389,94.5840342,76.4807720
10.6603440,0.0568052,147.7020455,94.2281710,76.5242435
10.6957920,0.0830158,150.0475027,94.8139268,78.0269166
10.7450950,0.1000708,149.4107116,94.1199960,76.6407579
10.7866220,0.1104691,149.6163659,94.1864524,76.2656119
10.8470590,0.1213233,149.6883952,94.5836834,76.6734146
10.8982610,0.1314812,149.8290226,94.8763982,76.7666144
10.9214940,0.1307123,149.9423471,94.7300365,76.7610881
10.9435320,0.1086526,149.8780134,94.5697709,77.8501550
10.9664300,0.0620833,150.3782886,95.1013632,77.8193068
10.9955540,0.0017618,150.7358529,95.6430839,78.1566138
11.0396430,-0.0547252,150.9965248,95.9339721,78.5907760
11.0623500,-0.0975092,151.0118489,96.0036534,78.5299926
11.0834720,-0.1249423,151.0020250,96.0693930,78.7125500
11.1087060,-0.1408280,151.3954165,95.9990636,78.9330212
11.1519900,-0.1488195,151.3179097,96.1220314,78.9556428
11.1693430,-0.1477360,151.4046841,96.2152232,78.7156380
11.1873430,-0.1405829,151.6042958,96.4294850,78.9994142
11.2186690,-0.1306852,151.4918747,96.3153206,79.1587372
11.2356940,-0.1154020,152.0289610,96.7276507,79.6680849
11.2500050,-0.0925257,152.1760611,96.9309103,79.8043019
11.2829240,-0.0631129,152.6200599,97.1526133,79.7426166
11.2998240,-0.0323559,152.9651179,97.3358227,81.0788392
11.3332780,-0.0045682,153.2881680,97.5169662,81.6007001
11.3651820,0.0240620,153.5079313,97.4386489,81.5319119
11.4007620,0.0627719,153.3985988,97.7184274,82.4675516
11.4428740,0.1158437,153.9320746,98.1387170,82.9536852
11.4862240,0.1768200,154.1283437,97.8770603,83.2748807
11.5335570,0.2313551,154.5654631,98.4969542,83.4909950
11.5671710,0.2668496,154.6711064,98.2437909,83.5595411
11.5866760,0.2791405,155.0894305,98.5872068,83.3392779
11.6201410,0.2691835,155.6243051,98.5130360,84.3071752
11.6525940,0.2358736,155.4167715,98.8278600,84.4759013
11.6853920,0.1773802,155.6501075,99.0594409,84.6418065
11.7178310,0.0984499,156.3592953,99.1802478,84.9525912
11.7528950,0.0098372,156.7624094,99.2827663,83.9415676
11.7867560,-0.0786995,156.7835113,99.7169158,84.7003845
11.8326020,-0.1616916,156.9292322,99.8407199,85.0693382
11.8870620,-0.2377944,156.4944971,99.4079378,84.3987592
11.9031660,-0.3055947,155.8653725,98.1878974,83.6335116
11.9388190,-0.3562850,155.1202179,98.0079260,82.4484591
11.9696300,-0.3780282,159.0536558,101.2367703,85.0544793
12.0074440,-0.3609547,161.1094835,104.3596616,87.7747551
12.0432770,-0.3055401,164.4480557,106.7364168,92.0667441
12.0754680,-0.2276702,165.5100044,108.1003112,93.6649177
12.1102220,-0.1420683,166.2781015,109.3080379,93.1752146
12.1564190,-0.0573282,166.4136873,109.2189362,93.6805994
12.1934280,0.0181078,166.4186889,109.0285992,94.0186094
12.2108270,0.0827665,168.2052059,111.0858972,95.0539364
12.2428650,0.1383741,168.0217192,111.3204828,95.9832094
12.2737850,0.1799073,168.1058983,111.5022370,95.9270615
12.3058760,0.2076436,169.4244920,112.8576696,96.9674287
12.3381560,0.2297867,169.1140237,112.9765732,96.4537927
12.3695790,0.2473946,169.7362534,113.3253868,97.2408050
12.4041740,0.2538530,169.6319579,113.1182432,97.5401384
12.4372010,0.2438028,168.1243847,112.2048737,96.5148471
12.4678840,0.2128979,167.7761558,111.8360662,96.2077668
12.4995350,0.1588295,168.4196491,112.5116333,96.9712066
